Date of analysis,Country,Total country population,Level 1,Area,Validity period,From,To,Phase,Number,Percentage
Jul 2026,MOZ,34958973,Cabo Delgado,Chiure,first projection,2026-10-01,2027-03-31,4,19632,0.05
Jul 2026,MOZ,34958973,Cabo Delgado,Chiure,first projection,2026-10-01,2027-03-31,5,0,0
Jul 2026,MOZ,34958973,Cabo Delgado,Macomia,current,2026-07-01,2026-09-30,all,150592,1.0
Jul 2026,MOZ,34958973,Cabo Delgado,Macomia,current,2026-07-01,2026-09-30,3+,60237,0.4
Jul 2026,MOZ,34958973,Cabo Delgado,Macomia,current,2026-07-01,2026-09-30,1,30118,0.2
Jul 2026,MOZ,34958973,Cabo Delgado,Macomia,current,2026-07-01,2026-09-30,2,60237,0.4
Jul 2026,MOZ,34958973,Cabo Delgado,Macomia,current,2026-07-01,2026-09-30,3,45178,0.3
Jul 2026,MOZ,34958973,Cabo Delgado,Macomia,current,2026-07-01,2026-09-30,4,15059,0.1
Jul 2026,MOZ,34958973,Cabo Delgado,Macomia,current,2026-07-01,2026-09-30,5,0,0
Jul 2026,MOZ,34958973,Cabo Delgado,Macomia,first projection,2026-10-01,2027-03-31,all,150592,1.0
Jul 2026,MOZ,34958973,Cabo Delgado,Macomia,first projection,2026-10-01,2027-03-31,3+,52708,0.35
Jul 2026,MOZ,34958973,Cabo Delgado,Macomia,first projection,2026-10-01,2027-03-31,1,45178,0.3
Jul 2026,MOZ,34958973,Cabo Delgado,Macomia,first projection,2026-10-01,2027-03-31,2,52707,0.35
Jul 2026,MOZ,34958973,Cabo Delgado,Macomia,first projection,2026-10-01,2027-03-31,3,45178,0.3
Jul 2026,MOZ,34958973,Cabo Delgado,Macomia,first projection,2026-10-01,2027-03-31,4,7530,0.05
Jul 2026,MOZ,34958973,Cabo Delgado,Macomia,first projection,2026-10-01,2027-03-31,5,0,0
Jul 2026,MOZ,34958973,Cabo Delgado,Mecufi,current,2026-07-01,2026-09-30,all,79587,1.0
Jul 2026,MOZ,34958973,Cabo Delgado,Mecufi,current,2026-07-01,2026-09-30,3+,11938,0.15
Jul 2026,MOZ,34958973,Cabo Delgado,Mecufi,current,2026-07-01,2026-09-30,1,39794,0.5
Jul 2026,MOZ,34958973,Cabo Delgado,Mecufi,current,2026-07-01,2026-09-30,2,27855,0.35
Jul 2026,MOZ,34958973,Cabo Delgado,Mecufi,current,2026-07-01,2026-09-30,3,11938,0.15
Jul 2026,MOZ,34958973,Cabo Delgado,Mecufi,current,2026-07-01,2026-09-30,4,0,0
Jul 2026,MOZ,34958973,Cabo Delgado,Mecufi,current,2026-07-01,2026-09-30,5,0,0
